TimeReceived,DownloadSource,TopLevelDomain,DownloadSpeed,PingTimeToServer,FileSizeBytes,HowManyTimesFileSeen,ExecutableCodeMaybePresentInHeaders,CallsToLowLevelSystemLibraries,EvidenceOfCodeObfuscation,ThreadsStarted,MeanWordLengthOfExtractedStrings,SimilarityScore,CharactersInUrl,ActuallyMalicious,InitialStatisticalAnalysis
2022-01-16 03:45:07.568868,Well Known Software Download Websites,.net,1MB/s to 10MB/s,184,6276469.0,641,YES,563.0,NO,3,4.98,1.580207242,68,NO,Correctly Identified as Clean
2022-01-16 03:55:41.603814,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,124,2548723.0,600,NO,204.0,YES,1,5.54,0.918405746,62,YES,Correctly Identified as Malware
2022-01-16 04:05:28.093288,Well Known Software Download Websites,.net,100KB/s to 1MB/s,128,3615461.0,647,NO,299.0,YES,2,4.38,0.251481505,54,NO,Correctly Identified as Clean
2022-01-16 04:18:05.051997,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,31,12198273.0,510,NO,1309.0,YES,2,4.58,-0.347558679,69,NO,Correctly Identified as Clean
2022-01-16 04:29:14.745270,Well Known Software Download Websites,.com,100KB/s to 1MB/s,160,6587121.0,521,NO,597.0,NO,3,5.33,1.142879277,90,NO,Correctly Identified as Clean
2022-01-16 04:40:35.131951,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,47,12852661.0,608,NO,1406.0,NO,2,5.33,1.214585508,77,NO,Correctly Identified as Clean
2022-01-16 04:51:15.363006,Well Known Software Download Websites,.gov,1MB/s to 10MB/s,232,12223409.0,664,NO,1312.0,NO,2,4.2,0.89131049,71,YES,Correctly Identified as Malware
2022-01-16 05:03:25.285341,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,159,2667491.0,477,YES,214.0,YES,1,5.58,-0.370266608,103,NO,Correctly Identified as Clean
2022-01-16 05:14:13.289074,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,343,14311912.0,642,NO,1636.0,YES,3,4.5,-0.457441928,78,NO,Correctly Identified as Clean
2022-01-16 05:24:22.389987,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,546,3630953.0,589,NO,301.0,NO,2,5.49,-0.795263436,34,NO,Correctly Identified as Clean
2022-01-16 05:35:10.519538,Well Known Software Download Websites,.net,100KB/s to 1MB/s,196,9737305.0,577,NO,970.0,YES,1,4.46,1.39032176,61,NO,Incorrecty Identified as Malware
2022-01-16 05:46:25.640559,Well Known Software Download Websites,.net,100KB/s to 1MB/s,195,6503682.0,634,YES,588.0,NO,1,5.32,-0.2867443,54,NO,Correctly Identified as Clean
2022-01-16 05:56:29.952038,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,327,11849763.0,743,YES,1258.0,NO,2,5.43,0.86819486,85,YES,Correctly Identified as Malware
2022-01-16 06:05:57.515317,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,31,8948526.0,640,YES,,NO,1,5.14,-0.588104796,78,NO,Correctly Identified as Clean
2022-01-16 06:14:32.024443,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,104,14940330.0,719,NO,1741.0,NO,2,5.24,-0.568260027,50,YES,Correctly Identified as Malware
2022-01-16 06:25:18.882818,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,482,14127115.0,387,YES,,NO,2,4.41,1.404227866,71,YES,Correctly Identified as Malware
2022-01-16 06:34:49.699858,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,252,866526.0,775,YES,66.0,YES,1,5.31,1.274735187,49,YES,Correctly Identified as Malware
2022-01-16 06:44:33.543968,Git Repository,.net,100KB/s to 1MB/s,131,2493893.0,591,YES,199.0,NO,1,5.19,0.163786098,65,NO,Incorrecty Identified as Malware
2022-01-16 06:54:44.991003,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,27,666513.0,582,NO,50.0,NO,1,5.8,0.374810095,64,YES,Correctly Identified as Malware
2022-01-16 07:04:35.815503,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,107,552673.0,556,YES,41.0,YES,1,5.32,-0.75104332,74,YES,Incorrectly Identified as Clean
2022-01-16 07:14:14.547207,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,100,30256790.0,462,NO,,NO,1,4.53,-0.69491632,74,NO,Correctly Identified as Clean
2022-01-16 07:25:30.028629,Well Known Software Download Websites,.edu,1MB/s to 10MB/s,41,17561995.0,728,NO,,YES,2,4.64,0.330106081,62,NO,Correctly Identified as Clean
2022-01-16 07:37:24.369355,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,408,18834515.0,421,NO,2467.0,NO,2,5.0,0.63241574,69,NO,Correctly Identified as Clean
2022-01-16 07:48:14.120677,Wordpress Powered Web Site,.com,1MB/s to 10MB/s,414,8915652.0,411,NO,866.0,NO,2,4.39,0.258930371,68,YES,Correctly Identified as Malware
2022-01-16 07:58:08.616065,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,450,8895812.0,602,YES,864.0,NO,1,5.41,-0.100022012,56,NO,Correctly Identified as Clean
2022-01-16 08:06:34.358728,Well Known Software Download Websites,.gov,1MB/s to 10MB/s,223,17181930.0,756,NO,2141.0,YES,2,4.75,-0.973238978,54,NO,Incorrecty Identified as Malware
2022-01-16 08:18:06.701592,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,580,7537489.0,443,YES,703.0,YES,1,4.33,-0.477164093,52,YES,Correctly Identified as Malware
2022-01-16 08:29:32.376472,Well Known Software Download Websites,.net,100KB/s to 1MB/s,41,7881893.0,505,YES,743.0,YES,1,5.17,-0.881360698,92,NO,Incorrecty Identified as Malware
2022-01-16 08:40:32.966995,Well Known Software Download Websites,.net,100KB/s to 1MB/s,162,5255191.0,606,NO,,NO,1,5.16,0.567333905,73,NO,Correctly Identified as Clean
2022-01-16 08:52:26.750371,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,210,2989683.0,594,NO,243.0,YES,2,4.18,-0.502955934,63,NO,Incorrecty Identified as Malware
2022-01-16 09:04:19.684362,Git Repository,.com,100KB/s to 1MB/s,196,26602123.0,529,YES,4400.0,YES,1,5.29,0.23084205,66,YES,Correctly Identified as Malware
2022-01-16 09:15:35.587629,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,546,18016368.0,636,NO,2302.0,YES,1,4.45,-1.518871178,96,NO,Incorrecty Identified as Malware
2022-01-16 09:25:14.442900,Well Known Software Download Websites,.com,100KB/s to 1MB/s,206,20113190.0,244,NO,2738.0,YES,2,5.23,0.751166128,85,YES,Incorrectly Identified as Clean
2022-01-16 09:35:06.060125,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,67,7289565.0,429,NO,675.0,YES,1,5.67,-0.72516023,55,YES,Correctly Identified as Malware
2022-01-16 09:45:40.824567,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,150,8103156.0,599,YES,768.0,NO,1,4.9,-2.164208098,52,NO,Incorrecty Identified as Malware
2022-01-16 09:56:37.687625,Git Repository,.com,100KB/s to 1MB/s,229,20969160.0,618,NO,2928.0,YES,3,5.12,0.417329514,65,YES,Correctly Identified as Malware
2022-01-16 10:06:36.178273,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,115,1412354.0,656,YES,109.0,YES,3,5.55,0.946994526,83,YES,Incorrectly Identified as Clean
2022-01-16 10:16:53.563704,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,335,9156218.0,677,YES,896.0,NO,2,5.31,0.192579109,77,YES,Incorrectly Identified as Clean
2022-01-16 10:27:29.862049,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,281,676601.0,575,NO,51.0,YES,1,5.49,-0.829222742,58,YES,Incorrectly Identified as Clean
2022-01-16 10:37:40.308583,Git Repository,.net,100KB/s to 1MB/s,143,21223339.0,594,NO,2987.0,YES,1,5.27,0.978261019,71,YES,Correctly Identified as Malware
2022-01-16 10:47:37.921669,Well Known Software Download Websites,.net,100KB/s to 1MB/s,223,15813841.0,565,NO,1891.0,NO,2,5.31,-0.942507356,64,NO,Correctly Identified as Clean
2022-01-16 10:58:42.775769,Well Known Software Download Websites,.com,100KB/s to 1MB/s,183,14769672.0,523,YES,1712.0,NO,2,5.77,-0.457158511,71,NO,Correctly Identified as Clean
2022-01-16 11:07:12.495049,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,285,3613924.0,603,YES,299.0,YES,1,4.7,0.346129013,86,NO,Incorrecty Identified as Malware
2022-01-16 11:17:35.523403,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,360,8885658.0,713,NO,863.0,YES,2,3.97,-0.045701719,48,NO,Correctly Identified as Clean
2022-01-16 11:28:57.416714,Git Repository,.net,1MB/s to 10MB/s,185,14017803.0,543,NO,1588.0,NO,2,4.56,0.676287758,57,NO,Correctly Identified as Clean
2022-01-16 11:40:27.531617,Wordpress Powered Web Site,.com,1MB/s to 10MB/s,229,719672.0,649,NO,54.0,NO,1,6.16,-0.211670598,44,YES,Correctly Identified as Malware
2022-01-16 11:49:53.672966,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,795,12084765.0,566,NO,1292.0,NO,2,5.15,-0.739369206,92,NO,Correctly Identified as Clean
2022-01-16 12:00:11.143874,University Web Pages,.net,100KB/s to 1MB/s,377,10972231.0,624,NO,1134.0,YES,2,4.51,-1.22521119,66,NO,Correctly Identified as Clean
2022-01-16 12:10:49.944191,Well Known Software Download Websites,.com,1MB/s to 10MB/s,236,5659945.0,565,YES,499.0,YES,3,4.69,-0.194312983,100,YES,Correctly Identified as Malware
2022-01-16 12:21:43.947416,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,129,3775376.0,500,YES,314.0,NO,1,5.16,-0.46840065,64,NO,Incorrecty Identified as Malware
2022-01-16 12:34:39.216105,Well Known Software Download Websites,.com,100KB/s to 1MB/s,134,6572407.0,658,YES,595.0,YES,2,5.61,-0.339729576,39,YES,Incorrectly Identified as Clean
2022-01-16 12:45:16.902930,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,814,8907762.0,482,NO,865.0,YES,3,4.87,-1.129498855,48,YES,Correctly Identified as Malware
2022-01-16 12:55:17.160966,Well Known Software Download Websites,.com,1MB/s to 10MB/s,164,16859966.0,512,YES,2081.0,NO,3,4.26,-0.125121524,75,YES,Incorrectly Identified as Clean
2022-01-16 13:03:51.343353,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,325,2907459.0,571,YES,236.0,NO,1,5.5,-1.283606329,82,NO,Correctly Identified as Clean
2022-01-16 13:15:30.236758,Git Repository,.net,100KB/s to 1MB/s,52,16633489.0,744,YES,2039.0,YES,2,4.39,-0.095176207,69,NO,Correctly Identified as Clean
2022-01-16 13:26:59.838988,Well Known Software Download Websites,.edu,1MB/s to 10MB/s,249,3322456.0,589,YES,273.0,NO,1,4.48,-0.006813567,86,YES,Incorrectly Identified as Clean
2022-01-16 13:38:07.855407,Well Known Software Download Websites,.net,100KB/s to 1MB/s,241,21239617.0,682,YES,2990.0,YES,2,4.3,0.038586368,44,NO,Correctly Identified as Clean
2022-01-16 13:48:28.323198,Wordpress Powered Web Site,.net,1MB/s to 10MB/s,230,4086539.0,488,YES,343.0,YES,2,4.62,1.229684376,81,YES,Correctly Identified as Malware
2022-01-16 13:58:38.766981,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,407,650976.0,681,NO,49.0,YES,2,4.7,-1.658174153,79,NO,Incorrecty Identified as Malware
2022-01-16 14:08:04.820142,Well Known Software Download Websites,.net,100KB/s to 1MB/s,87,18946505.0,608,NO,2490.0,NO,3,5.03,-0.197865959,81,NO,Correctly Identified as Clean
2022-01-16 14:18:36.580201,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,88,12566349.0,677,YES,1363.0,NO,1,5.09,1.500779275,62,NO,Correctly Identified as Clean
2022-01-16 14:29:11.378934,Well Known Software Download Websites,.net,1MB/s to 10MB/s,365,11000211.0,592,YES,1138.0,YES,2,4.86,-1.311388144,64,YES,Correctly Identified as Malware
2022-01-16 14:41:56.579204,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,754,3026073.0,604,NO,,YES,1,5.72,0.280349507,86,YES,Incorrectly Identified as Clean
2022-01-16 14:52:27.434509,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,225,12836321.0,456,NO,1404.0,YES,1,5.08,-1.017633098,58,YES,Correctly Identified as Malware
2022-01-16 15:01:10.083189,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,107,17774244.0,708,YES,2255.0,NO,2,3.97,-0.876896053,61,YES,Correctly Identified as Malware
2022-01-16 15:12:16.276213,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,519,21206299.0,653,NO,2983.0,YES,2,4.88,1.24115468,54,NO,Correctly Identified as Clean
2022-01-16 15:23:35.980111,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,330,17247410.0,698,NO,2154.0,NO,1,4.84,0.096244036,83,NO,Correctly Identified as Clean
2022-01-16 15:33:46.076581,Git Repository,.net,100KB/s to 1MB/s,216,12501743.0,688,YES,1353.0,NO,3,4.71,-1.043602689,82,NO,Correctly Identified as Clean
2022-01-16 15:44:01.802166,Well Known Software Download Websites,.com,100KB/s to 1MB/s,90,17612590.0,544,NO,2224.0,NO,1,4.45,-0.118735427,55,NO,Correctly Identified as Clean
2022-01-16 15:54:56.440688,Wordpress Powered Web Site,.edu,100KB/s to 1MB/s,195,3148614.0,673,YES,257.0,NO,2,5.47,0.215438628,62,NO,Correctly Identified as Clean
2022-01-16 16:05:23.373805,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,196,9735887.0,555,NO,970.0,YES,2,5.65,1.328316365,49,NO,Correctly Identified as Clean
2022-01-16 16:17:22.152418,Well Known Software Download Websites,.net.au,100KB/s to 1MB/s,163,28097261.0,894,YES,4861.0,YES,2,3.98,-1.394858933,55,NO,Correctly Identified as Clean
2022-01-16 16:28:28.220355,Well Known Software Download Websites,.com,100KB/s to 1MB/s,92,12330133.0,679,NO,,NO,2,5.82,-0.47025849,85,YES,Correctly Identified as Malware
2022-01-16 16:38:25.084491,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,57,27824847.0,686,NO,4775.0,YES,1,5.19,-0.878736539,91,YES,Incorrectly Identified as Clean
2022-01-16 16:50:10.302299,Well Known Software Download Websites,.com,100KB/s to 1MB/s,33,12859376.0,722,YES,1407.0,NO,3,5.41,0.197012584,45,YES,Correctly Identified as Malware
2022-01-16 17:00:00.961144,Well Known Software Download Websites,.com,100KB/s to 1MB/s,153,4559737.0,665,NO,389.0,YES,2,4.55,1.75276432,73,NO,Correctly Identified as Clean
2022-01-16 17:09:33.842789,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,39,6618165.0,601,NO,600.0,YES,3,5.44,0.522308951,46,YES,Correctly Identified as Malware
2022-01-16 17:20:32.934170,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,101,4577974.0,741,NO,390.0,NO,3,5.17,0.313600396,59,NO,Correctly Identified as Clean
2022-01-16 17:32:08.776866,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,162,21004044.0,400,NO,2936.0,NO,2,4.01,-1.520422215,68,YES,Incorrectly Identified as Clean
2022-01-16 17:41:08.804004,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,158,2570523.0,519,NO,,YES,2,5.25,-1.229112412,71,YES,Correctly Identified as Malware
2022-01-16 17:52:34.839597,Linked Directly to Google Search Result,.edu,1MB/s to 10MB/s,416,2787478.0,464,YES,225.0,NO,2,4.55,1.134716776,75,YES,Correctly Identified as Malware
2022-01-16 18:03:17.422395,Wordpress Powered Web Site,.org,1MB/s to 10MB/s,375,6453943.0,724,NO,582.0,NO,2,5.14,-0.288116691,68,NO,Correctly Identified as Clean
2022-01-16 18:15:36.002664,Well Known Software Download Websites,.com,1MB/s to 10MB/s,286,13050230.0,748,NO,1436.0,NO,2,5.25,0.013748785,60,YES,Incorrectly Identified as Clean
2022-01-16 18:26:42.450664,Well Known Software Download Websites,.gov,1MB/s to 10MB/s,238,23819247.0,493,YES,3624.0,NO,3,4.68,0.4519785,54,NO,Correctly Identified as Clean
2022-01-16 18:35:45.580912,Well Known Software Download Websites,.com,100KB/s to 1MB/s,229,4719769.0,647,NO,404.0,YES,2,4.34,-0.19559761,79,NO,Correctly Identified as Clean
2022-01-16 18:46:32.914078,Well Known Software Download Websites,.net,100KB/s to 1MB/s,103,2878572.0,644,NO,233.0,YES,3,5.63,-0.177842381,77,YES,Incorrectly Identified as Clean
2022-01-16 18:57:00.821839,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,502,3523320.0,628,NO,291.0,YES,1,4.87,-0.975617514,63,NO,Correctly Identified as Clean
2022-01-16 19:07:31.265876,Well Known Software Download Websites,.com,1MB/s to 10MB/s,194,2066342.0,392,NO,163.0,YES,1,4.44,-0.377103448,64,YES,Correctly Identified as Malware
2022-01-16 19:19:51.930012,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,128,8016283.0,517,YES,758.0,YES,1,5.37,-0.445870016,60,NO,Correctly Identified as Clean
2022-01-16 19:31:23.255358,Well Known Software Download Websites,.net,100KB/s to 1MB/s,109,1895311.0,630,YES,149.0,NO,2,5.17,0.585069896,75,NO,Incorrecty Identified as Malware
2022-01-16 19:41:01.048232,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,437,1134194.0,611,YES,87.0,YES,1,4.53,0.840743113,77,NO,Correctly Identified as Clean
2022-01-16 19:51:34.180982,Exposed Corporate Intranet Pages,.net,100KB/s to 1MB/s,387,16909026.0,537,NO,2090.0,YES,2,5.19,-0.001378453,57,NO,Correctly Identified as Clean
2022-01-16 20:03:18.540634,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,266,2900144.0,483,YES,235.0,YES,2,5.23,0.420852422,64,YES,Incorrectly Identified as Clean
2022-01-16 20:14:00.262148,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,207,5509254.0,665,NO,483.0,YES,1,4.4,-1.204133129,88,NO,Correctly Identified as Clean
2022-01-16 20:25:10.770291,Wordpress Powered Web Site,.edu,100KB/s to 1MB/s,572,2107252.0,600,NO,167.0,NO,1,5.61,-0.33723864,88,NO,Correctly Identified as Clean
2022-01-16 20:36:45.286533,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,219,3707738.0,622,NO,308.0,YES,1,5.34,0.098491124,73,NO,Correctly Identified as Clean
2022-01-16 20:46:55.218563,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,114,1290878.0,458,NO,99.0,YES,2,4.7,-1.548871437,82,YES,Incorrectly Identified as Clean
2022-01-16 20:55:49.399468,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,600,3981742.0,528,NO,333.0,YES,3,5.43,0.063651728,65,YES,Incorrectly Identified as Clean
2022-01-16 21:07:35.860843,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,313,7424861.0,559,NO,690.0,NO,2,5.1,-0.002745692,55,NO,Correctly Identified as Clean
2022-01-16 21:16:08.050435,Well Known Software Download Websites,.gov,1MB/s to 10MB/s,83,2089631.0,617,NO,165.0,YES,1,4.52,-2.422834023,98,YES,Correctly Identified as Malware
2022-01-16 21:25:49.852218,Well Known Software Download Websites,.net,100KB/s to 1MB/s,114,6028939.0,579,NO,537.0,NO,1,5.38,-0.121719134,50,NO,Correctly Identified as Clean
2022-01-16 21:36:25.586488,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,217,9622300.0,581,NO,955.0,NO,2,5.19,-0.765059199,85,NO,Correctly Identified as Clean
2022-01-16 21:46:13.783257,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,216,20417009.0,501,NO,2804.0,NO,1,5.84,1.935462032,63,NO,Correctly Identified as Clean
2022-01-16 21:55:01.313413,Well Known Software Download Websites,.net,100KB/s to 1MB/s,599,13544688.0,647,YES,1513.0,YES,1,4.71,0.127456343,77,YES,Incorrectly Identified as Clean
2022-01-16 22:04:35.743660,Well Known Software Download Websites,.net,100KB/s to 1MB/s,71,2576243.0,683,NO,207.0,NO,1,5.58,0.203460445,48,YES,Incorrectly Identified as Clean
2022-01-16 22:13:25.009921,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,308,9640809.0,678,NO,958.0,YES,1,3.84,-0.690663605,54,NO,Incorrecty Identified as Malware
2022-01-16 22:23:02.381234,Well Known Software Download Websites,.net,1MB/s to 10MB/s,105,1448129.0,729,NO,112.0,YES,3,4.33,0.777471707,45,NO,Incorrecty Identified as Malware
2022-01-16 22:35:11.343585,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,390,9171713.0,703,YES,898.0,NO,2,5.49,-0.065368715,61,YES,Correctly Identified as Malware
2022-01-16 22:44:16.691618,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,521,1187312.0,598,NO,91.0,YES,2,5.38,-1.665052844,86,YES,Correctly Identified as Malware
2022-01-16 22:55:30.431842,Wordpress Powered Web Site,.com,1MB/s to 10MB/s,406,294711.0,505,NO,22.0,YES,1,4.59,0.865484315,61,YES,Incorrectly Identified as Clean
2022-01-16 23:07:02.074826,Git Repository,.com,100KB/s to 1MB/s,224,9704468.0,629,NO,966.0,YES,2,4.45,-0.21188097,70,NO,Correctly Identified as Clean
2022-01-16 23:16:35.268845,Well Known Software Download Websites,.com,100KB/s to 1MB/s,193,1153897.0,661,YES,88.0,YES,1,4.19,0.7020772,79,NO,Incorrecty Identified as Malware
2022-01-16 23:27:45.598129,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,359,1182309.0,359,NO,,YES,1,4.61,-0.395566672,57,YES,Correctly Identified as Malware
2022-01-16 23:39:01.731267,Linked Directly to Google Search Result,.edu,1MB/s to 10MB/s,192,2650424.0,602,NO,213.0,NO,2,4.62,-0.010318479,70,YES,Correctly Identified as Malware
2022-01-16 23:49:55.974455,Well Known Software Download Websites,.net,100KB/s to 1MB/s,54,6108484.0,694,NO,545.0,NO,2,5.72,0.526641301,71,YES,Correctly Identified as Malware
2022-01-16 23:59:59.999999,University Web Pages,.gov,100KB/s to 1MB/s,108,5549934.0,654,NO,487.0,YES,1,5.08,1.148569983,46,YES,Incorrectly Identified as Clean
2022-01-17 00:09:49.416166,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,319,5558175.0,655,NO,488.0,NO,1,5.64,0.242584569,58,YES,Correctly Identified as Malware
2022-01-17 00:18:14.091645,Well Known Software Download Websites,.com,1MB/s to 10MB/s,352,2642602.0,419,NO,212.0,NO,1,4.74,2.215863932,77,YES,Incorrectly Identified as Clean
2022-01-17 00:28:12.688930,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,279,5245054.0,548,NO,456.0,NO,3,5.5,0.355647948,57,NO,Correctly Identified as Clean
2022-01-17 00:39:46.891543,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,324,3317492.0,580,NO,272.0,YES,2,5.57,0.421551044,80,YES,Incorrectly Identified as Clean
2022-01-17 00:48:49.726012,Linked Directly to Google Search Result,.edu,1MB/s to 10MB/s,275,11540883.0,707,YES,1214.0,NO,1,4.76,-0.027446944,53,NO,Correctly Identified as Clean
2022-01-17 00:58:55.188985,Well Known Software Download Websites,.net,100KB/s to 1MB/s,268,3870715.0,558,YES,323.0,YES,2,5.47,-1.276198713,57,YES,Correctly Identified as Malware
2022-01-17 01:07:54.013386,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,611,15941198.0,503,YES,1914.0,YES,3,5.14,-1.080933368,76,YES,Correctly Identified as Malware
